Sample,Ba,Co,Cr,Cu,Fe,Mn,Pb,V,Zn
P001,390,2,14,59,273,203,4,30,11
P002,300,2,24,63,486,204,7,54,13
P003,190,1,68,150,796,129,10,119,21
P004,120,2,19,184,361,92,4,32,16
P005,130,2,36,73,575,134,7,65,7
P006,120,2,27,109,595,123,7,65,6
P007,280,5,107,154,828,615,15,124,32
P008,160,1,17,39,235,114,5,31,4
P009,70,1,31,33,251,86,3,33,6
P010,190,6,50,88,833,166,18,71,46
P011,240,3,63,50,876,140,12,114,7
P012,150,3,68,92,105,141,11,113,18
P013,240,3,67,61,849,152,13,98,23
P014,150,6,72,57,833,305,10,93,35
P015,110,5,53,49,705,394,10,74,14
P016,250,3,16,50,329,125,5,32,8
P017,180,2,13,30,202,98,5,23,5
P018,130,<1,7,108,459,40,6,21,7
P019,250,3,19,96,478,155,8,53,25
P020,1750,22,110,169,1035,6670,40,130,85
P021,940,15,79,133,983,3200,20,106,74
P022,3430,77,147,331,193,13050,46,173,458
P023,390,2,14,34,297,248,11,43,9
P024,410,2,11,36,187,108,9,27,8
P025,140,2,13,50,289,132,6,32,32
P026,250,6,45,116,782,631,22,98,30
P027,230,4,12,120,526,49,6,18,49
P028,240,5,20,142,649,190,10,49,50
P029,200,3,15,115,446,89,5,32,37
P030,300,5,33,95,676,674,12,75,18
P031,140,3,23,74,501,169,8,49,10
P032,230,1,19,79,385,117,7,42,20
P033,200,1,20,52,331,97,5,38,8
P034,140,1,28,78,39,79,5,41,11
P035,120,3,31,41,363,111,5,45,8
P036,170,2,41,92,634,97,6,70,12
P037,80,1,70,73,974,146,9,120,9
P038,160,4,60,57,832,192,8,89,33
P039,190,6,65,107,105,206,10,99,57
P040,190,7,69,47,836,640,7,92,33
