SAMPLE,As,Ba,Co,Cr,Cu,Fe,Mn,Mo,Ni,P,Pb,Sc,Sr,V,Zn
No,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
P001,32,390,2,14,59,273,203,4,8,320,4,4,12,30,11
P002,49,300,2,24,63,486,204,7,6,270,7,5,12,54,13
P003,79,190,1,68,150,796,129,14,16,350,10,9,13,119,21
P004,48,120,2,19,184,361,92,11,10,340,4,5,5,32,16
P005,45,130,2,36,73,575,134,10,7,170,7,5,7,65,7
P006,70,120,2,27,109,595,123,12,4,190,7,5,7,65,6
P007,105,280,5,107,154,828,615,23,21,460,15,12,12,124,32
P008,22,160,1,17,39,235,114,5,3,90,5,3,7,31,4
P009,32,70,1,31,33,251,86,5,5,110,3,3,5,33,6
P010,120,190,6,50,88,833,166,18,30,650,18,7,12,71,46
P011,81,240,3,63,50,876,140,14,8,180,12,6,12,114,7
P012,103,150,3,68,92,105,141,16,12,300,11,7,7,113,18
P013,81,240,3,67,61,849,152,13,14,420,13,6,13,98,23
P014,76,150,6,72,57,833,305,11,18,460,10,6,8,93,35
P015,70,110,5,53,49,705,394,11,9,400,10,5,6,74,14
P016,32,250,3,16,50,329,125,6,7,180,5,4,5,32,8
P017,16,180,2,13,30,202,98,3,2,90,5,2,3,23,5
P018,34,130,<1,7,108,459,40,4,4,260,6,8,8,21,7
P019,80,250,3,19,96,478,155,10,19,270,8,6,7,53,25
P020,135,1750,22,110,169,1035,6670,15,35,660,40,12,8,130,85
P021,109,940,15,79,133,983,3200,11,35,650,20,9,6,106,74
P022,261,3430,77,147,331,193,13050,12,140,1060,46,20,11,173,458
P023,42,390,2,14,34,297,248,5,7,200,11,4,10,43,9
P024,30,410,2,11,36,187,108,5,7,220,9,2,12,27,8
P025,45,140,2,13,50,289,132,6,11,160,6,3,7,32,32
P026,78,250,6,45,116,782,631,11,15,200,22,7,8,98,30
P027,91,230,4,12,120,526,49,24,25,640,6,3,9,18,49
P028,113,240,5,20,142,649,190,24,25,610,10,4,8,49,50
P029,93,200,3,15,115,446,89,17,17,440,5,2,5,32,37
P030,91,300,5,33,95,676,674,19,9,280,12,4,7,75,18
P031,56,140,3,23,74,501,169,88,8,260,8,3,5,49,10
P032,49,230,1,19,79,385,117,23,9,210,7,2,5,42,20
P033,32,200,1,20,52,331,97,9,5,120,5,2,6,38,8
P034,41,140,1,28,78,39,79,7,8,180,5,3,4,41,11
P035,41,120,3,31,41,363,111,8,6,170,5,3,6,45,8
P036,64,170,2,41,92,634,97,10,9,210,6,4,6,70,12
P037,103,80,1,70,73,974,146,19,7,180,9,5,5,120,9
P038,90,160,4,60,57,832,192,14,15,380,8,5,8,89,33
P039,113,190,6,65,107,105,206,19,25,500,10,5,6,99,57
P040,92,190,7,69,47,836,640,15,16,370,7,4,6,92,33
