Ba,Co,Cr,Cu,Fe,Mn,Pb,V,Zn,Sample
390,2,14,59,273,203,4,30,11,Kiere
300,2,24,63,486,204,7,54,13,Kiere
190,1,68,150,796,129,10,119,21,Kiere
120,2,19,184,361,92,4,32,16,Kiere
130,2,36,73,575,134,7,65,7,Kiere
120,2,27,109,595,123,7,65,6,Kiere
280,5,107,154,828,615,15,124,32,Kiere
160,1,17,39,235,114,5,31,4,Kiere
70,1,31,33,251,86,3,33,6,Kiere
190,6,50,88,833,166,18,71,46,Kiere
240,3,63,50,876,140,12,114,7,Kiere
150,3,68,92,105,141,11,113,18,Kiere
240,3,67,61,849,152,13,98,23,Kiere
150,6,72,57,833,305,10,93,35,Kiere
110,5,53,49,705,394,10,74,14,Kiere
250,3,16,50,329,125,5,32,8,Kiere
180,2,13,30,202,98,5,23,5,Kiere
130,<1,7,108,459,40,6,21,7,Kiere
250,3,19,96,478,155,8,53,25,Kiere
1750,22,110,169,1035,6670,40,130,85,Mali
940,15,79,133,983,3200,20,106,74,Mali
3430,77,147,331,193,13050,46,173,458,Mali
390,2,14,34,297,248,11,20,9,Mali
410,2,11,36,187,108,9,28,8,Mali
140,2,13,50,289,132,6,31,32,Mali
250,6,45,116,782,631,22,41,30,Mali
230,4,12,120,526,49,6,70,49,Mali
240,5,20,142,649,190,10,60,50,Mali
200,3,15,115,446,89,5,65,37,Mali
300,5,33,95,676,674,12,69,18,Mali
140,3,43,74,501,169,8,23,10,Mali
230,1,27,79,385,117,7,19,20,Mali
200,1,32,52,331,97,5,38,8,Mali
140,1,98,78,39,79,5,41,11,Mali
120,3,18,41,363,111,5,45,8,Mali
170,2,49,92,634,97,6,70,12,Mali
80,1,32,73,974,146,9,120,9,Mali
160,4,75,57,832,192,8,89,33,Mali
190,6,49,107,105,206,10,99,57,Mali
190,7,42,47,836,640,7,92,33,Mali
