MAGFIELD,GPSLAT,GPSLON
51990.5,64.665813,13.149861
51999.6,64.666035,13.149779
51990.9,64.66626,13.149758
51988.1,64.666465,13.149815
52004.7,64.666723,13.149768
52033.8,64.66694,13.149748
52112.7,64.667143,13.149724
52059.8,64.667385,13.149774
51973.3,64.667633,13.149734
52084,64.667825,13.14974
52153.4,64.66806,13.149781
52135.2,64.668273,13.149726
52149.7,64.668498,13.149723
52108.7,64.668745,13.149663
52108.2,64.668974,13.149661
52240.2,64.669195,13.149611
52239,64.669391,13.149603
52310,64.669639,13.149604
52275.5,64.669855,13.149579
52205.3,64.670063,13.149536
52088.4,64.674803,13.149811
52183.4,64.674555,13.149765
52322.1,64.674338,13.149828
52239.3,64.674121,13.149828
52195.8,64.673903,13.149838
52153.5,64.67367,13.149895
52113.3,64.673453,13.14985
52079.4,64.673208,13.149881
52072.9,64.673008,13.149931
52030.7,64.672773,13.149866
52015.5,64.672559,13.149918
52017.7,64.672306,13.149943
51997.6,64.6721,13.149911
51841.9,64.671864,13.149913
52324.8,64.671656,13.14996
52372,64.671428,13.149981
52262.4,64.671184,13.150011
52056.1,64.670966,13.15005
52317.4,64.670763,13.150008
52378.7,64.670513,13.150083
52000.8,64.665863,13.150878
52024.2,64.666053,13.150899
52013.6,64.666275,13.150868
52002.1,64.666515,13.150866
52013.3,64.666731,13.150853
52067.2,64.666966,13.150818
52186.6,64.667176,13.150845
52048.7,64.6674,13.150806
52071.2,64.667638,13.1508
52069.4,64.667846,13.150783
52127.4,64.668066,13.150773
52081.5,64.668303,13.150748
52075.6,64.668533,13.150738
52048,64.668741,13.150718
52378.2,64.668965,13.15069
52281,64.669186,13.150688
52232.7,64.669426,13.150653
52185.2,64.669641,13.15069
52282,64.669856,13.150646
52330.7,64.670093,13.150646
52093.3,64.674805,13.15085
52151.3,64.674576,13.150825
52164.8,64.674328,13.15087
52185.4,64.674136,13.150943
52193.1,64.673903,13.150945
52206,64.67371,13.150925
52207.1,64.673415,13.150948
52247.8,64.673233,13.151005
52286,64.673011,13.151098
52152.9,64.672779,13.15088
52153.6,64.672575,13.150993
52167.4,64.672351,13.151055
52108.5,64.672068,13.151048
52121.8,64.671871,13.151068
52269.7,64.671638,13.150956
52348,64.671416,13.151081
52327.3,64.67121,13.151145
52200.2,64.671003,13.151085
52212.9,64.670518,13.151113
52224.8,64.670298,13.151085
52000.9,64.665846,13.151968
52010.1,64.666021,13.151921
52003.5,64.666296,13.151968
52024,64.666526,13.151881
52028,64.666738,13.151926
52084,64.666956,13.151896
52150.1,64.66718,13.151905
52082.6,64.667398,13.151818
52127.5,64.667628,13.151828
52233.1,64.667841,13.151806
52125.8,64.668096,13.151785
51776.1,64.668306,13.151808
52099,64.668524,13.151746
52350.2,64.668758,13.151743
52220.1,64.669001,13.151736
52263.9,64.669208,13.151733
52208,64.66941,13.151686
52178.5,64.669643,13.151708
52240.8,64.669884,13.15167
52239.8,64.6701,13.15165
52111.9,64.67481,13.151846
52112.3,64.674573,13.151863
52115.7,64.674365,13.151921
52112,64.674145,13.151905
52166.8,64.673921,13.151955
52208.7,64.673696,13.151938
52238.5,64.673463,13.151985
52224,64.673238,13.15198
52178.5,64.672998,13.152043
52153.3,64.672783,13.151991
52160.6,64.672573,13.152046
52312.7,64.672348,13.152071
52412.1,64.67212,13.152063
52332.7,64.671893,13.152083
52211.4,64.67169,13.15209
52363.7,64.671466,13.152071
52298.9,64.671221,13.152195
52188.4,64.670971,13.152116
52042.3,64.670785,13.15209
52259.3,64.670498,13.15209
52063.1,64.665858,13.15296
52009.9,64.666076,13.153013
52053.3,64.666295,13.152981
52018.3,64.66653,13.152933
52032,64.666726,13.152971
51860.5,64.666986,13.15292
52065.5,64.667215,13.152908
52126.4,64.667433,13.152908
52098.5,64.66765,13.152905
52106.3,64.667855,13.15283
52124.5,64.668093,13.152843
52084,64.668328,13.15283
52621.4,64.668569,13.152801
52363,64.668773,13.15282
52211.9,64.669005,13.152806
52527.4,64.669218,13.152776
52158.7,64.669433,13.152763
52125.5,64.669648,13.152738
52138,64.669888,13.152741
52205.8,64.670103,13.152761
52120.8,64.674818,13.152418
52120.3,64.674821,13.152915
52107.3,64.674605,13.152963
52110.6,64.674386,13.152958
52132,64.67413,13.152941
52154.8,64.673928,13.152968
52179.9,64.673701,13.153006
52196.9,64.673469,13.153025
52187.6,64.673236,13.152991
52153,64.67302,13.15303
52132.6,64.672806,13.153061
52136.3,64.67257,13.153058
52139.1,64.672341,13.15309
52208.8,64.672166,13.153121
52349.4,64.671915,13.1531
52899.8,64.67169,13.153116
52380.5,64.671448,13.153111
52450.8,64.671224,13.153163
52279.3,64.671028,13.153191
52283.6,64.670798,13.153223
52027,64.665838,13.153533
52011.6,64.665873,13.154063
52019.5,64.666091,13.154079
52021.4,64.666326,13.153996
52012,64.66657,13.15397
52042.7,64.666768,13.154021
52051.5,64.667003,13.153986
52061.7,64.6671,13.154005
52049.9,64.667448,13.154006
52063,64.667664,13.153921
52138,64.667876,13.153953
52310.5,64.668113,13.153888
52321.1,64.66833,13.15383
52272.2,64.668566,13.153924
52169.4,64.668788,13.15381
52129.4,64.669016,13.153811
52381.7,64.669226,13.153845
52120.5,64.669436,13.15381
52121.6,64.669668,13.153816
52098.7,64.669891,13.153816
52156.8,64.674828,13.153428
52070.1,64.674856,13.153955
52104.2,64.67463,13.15397
52088.9,64.674361,13.153963
52223.1,64.674155,13.154063
52141.2,64.673945,13.154051
52207,64.673685,13.154096
52182.6,64.6735,13.154088
52148.9,64.673258,13.154083
52119,64.67305,13.154074
52129.9,64.672801,13.154055
52132.5,64.672595,13.154108
52129.3,64.672358,13.154113
52160.1,64.672161,13.154136
52170.3,64.671893,13.154225
52316.2,64.671709,13.154135
52366.5,64.671455,13.154173
52311,64.671271,13.154101
52274.6,64.671021,13.154283
52165.5,64.670768,13.15432
